Store,Weekdays,Weekends,Latitude,Longitude
Countdown Greenlane,7.295955296,4,-36.88916156,174.7935037
Countdown St Lukes,6.385529252,3,-36.88336862,174.7347459
Countdown Mt Eden,6.604614763,5,-36.87718131,174.7523352
Countdown Newmarket,6.433942995,3.5,-36.8705446,174.7754093
Countdown Pt Chevalier,7.659362825,5,-36.86957431,174.7105595
Countdown Grey Lynn Central,7.254711103,6,-36.86311836,174.7385667
Countdown Ponsonby,7.549090772,3.5,-36.8584399,174.7491386
Countdown Grey Lynn,7.471868527,2.5,-36.85144346,174.7318719
Countdown Victoria Street West,8.616950304,4.5,-36.84853355,174.7648512
Countdown Auckland City,7.570946106,3.5,-36.84496186,174.7731192
Countdown Metro Halsey Street,3.340402969,1000,-36.84358106,174.7578066
Countdown Metro Albert Street,3.743315508,1000,-36.84350157,174.7658662
