Store,Weekdays,Weekends,Latitude,Longitude
Countdown Greenlane,8.375,4,-36.88916156,174.7935037
Countdown St Lukes,6.6875,3,-36.88336862,174.7347459
Countdown Mt Eden,7.625,5,-36.87718131,174.7523352
Countdown Newmarket,7.5,3.5,-36.8705446,174.7754093
Countdown Pt Chevalier,8.0625,5,-36.86957431,174.7105595
Countdown Grey Lynn Central,8.3125,6,-36.86311836,174.7385667
Countdown Ponsonby,8.75,3.5,-36.8584399,174.7491386
Countdown Grey Lynn,8.75,2.5,-36.85144346,174.7318719
Countdown Victoria Street West,9.3125,4.5,-36.84853355,174.7648512
Countdown Auckland City,7.9375,3.5,-36.84496186,174.7731192
