Store,Weekdays,Weekends,Latitude,Longitude
FreshChoice Mangere Bridge,4.5,0,-36.94250829,174.7869875
Countdown Lynfield,7.5,3,-36.92514077,174.7239957
Countdown Blockhouse Bay,7,2,-36.92291876,174.7023521
Countdown Onehunga,7,2.5,-36.92249969,174.7838024
Countdown Three Kings,8,3,-36.90796057,174.7559072
Countdown Lynmall,7,4.5,-36.90687152,174.6850146
Countdown Mt Roskill,7.5,3,-36.90203359,174.7356996
SuperValue Avondale,4.5,0,-36.89776863,174.69741
FreshChoice Glen Eden,3.5,0,-36.91087436,174.6545496
Countdown Kelston,7,4.5,-36.90955497,174.6638042
SuperValue Titirangi,4,0,-36.93739048,174.6572984
