Store,Weekdays,Weekends,Latitude,Longitude
FreshChoice Otahuhu,3.342618384,1000,-36.94480584,174.8431184
Countdown Botany Downs,7.754713814,3.5,-36.92972626,174.9110718
Countdown Meadowlands,7.571908547,3,-36.9132518,174.929465
Countdown Pakuranga,6.932513036,3.5,-36.91284146,174.8714299
Countdown Mt Wellington,7.643490434,3.5,-36.9093147,174.837989
Countdown Highland Park,6.856210039,2.5,-36.89933061,174.9084309
Countdown Aviemore Drive,6.833898305,4,-36.89887827,174.9065699
Countdown Howick,8.338935279,4,-36.89585201,174.9335377
FreshChoice Half Moon Bay,4.09556314,1000,-36.88106607,174.9002827
Countdown St Johns,6.644693474,3.5,-36.87888192,174.8548393
Countdown Meadowbank,7.251514002,4.5,-36.87610706,174.8289359
Countdown Sylvia Park,7.170109026,3.5,-36.91713855,174.8418202
