Store,Weekdays,Weekends,Latitude,Longitude
Countdown Botany Downs,8.25,3.5,-36.92972626,174.9110718
Countdown Meadowlands,8.125,3,-36.9132518,174.929465
Countdown Pakuranga,7.625,3.5,-36.91284146,174.8714299
Countdown Mt Wellington,8.5625,3.5,-36.9093147,174.837989
Countdown Highland Park,7.5625,2.5,-36.89933061,174.9084309
Countdown Aviemore Drive,7.6875,4,-36.89887827,174.9065699
Countdown Howick,8.75,4,-36.89585201,174.9335377
Countdown St Johns,7.25,3.5,-36.87888192,174.8548393
Countdown Meadowbank,8.0625,4.5,-36.87610706,174.8289359
Countdown Sylvia Park,8.0625,3.5,-36.91713855,174.8418202
