Store,Weekdays,Weekends,Latitude ,Longitude 
SuperValue Papakura,4.5,0,-37.06606311,174.9556975
Countdown Papakura,6.5,3,-37.06390487,174.9447236
Countdown Roselands,8,4,-37.0589478,174.9414297
Countdown Takanini,8,5,-37.04764284,174.9279243
Countdown Manurewa,8,3,-37.01734442,174.8651097
Countdown Airport,6.5,5,-36.99736985,174.7888823
Countdown Manukau Mall,8,2.5,-36.99174967,174.8831931
Countdown Manukau,8,5.5,-36.98676855,174.8848148
SuperValue Flatbush,4.5,0,-36.97676671,174.8972267
Countdown Papatoetoe,8,2.5,-36.97039494,174.862111
Countdown Mangere Mall,7,2.5,-36.96987802,174.8011202
Countdown Mangere East,7,3.5,-36.9657908,174.825346
