Store,Weekday_mean,Weekend_mean,Weekday_variance,Weekend_variance
Countdown Airport,7,5,3.884210526,1.583333333
Countdown Auckland City,7.833333333,3.5,4.260526316,1.666666667
Countdown Aviemore Drive,7.666666667,4,6.221052632,2.666666667
Countdown Birkenhead,8.083333333,4.5,6.631578947,2.916666667
Countdown Blockhouse Bay,7.416666667,2,3.957894737,0.25
Countdown Botany Downs,8.166666667,3.5,3.221052632,1.666666667
Countdown Browns Bay,7.833333333,4.5,9.186842105,2.916666667
Countdown Glenfield,7.083333333,4.5,4.786842105,3
Countdown Greenlane,8.416666667,4,7.502631579,1
Countdown Grey Lynn,8.916666667,2.5,7.515789474,2
Countdown Grey Lynn Central,8.333333333,6,7.694736842,1
Countdown Hauraki Corner,7.25,4.5,5.694736842,2.916666667
Countdown Henderson,7.75,4,5.778947368,2.25
Countdown Highland Park,7.416666667,2.5,6.45,0.916666667
Countdown Hobsonville,8.666666667,6,3.936842105,0
Countdown Howick,8.75,4,6.05,0.666666667
Countdown Kelston,7.666666667,4.5,8.239473684,2
Countdown Lincoln Road,8.333333333,4,5.936842105,1
Countdown Lynfield,7.916666667,3,4.871052632,3.666666667
Countdown Lynmall,7,4.5,2.260526316,2
Countdown Mairangi Bay,8.583333333,3.5,4.642105263,1.666666667
Countdown Mangere East,7.833333333,3.5,3.418421053,0.333333333
Countdown Mangere Mall,7.25,3.5,5.923684211,2.916666667
Countdown Manukau,7.666666667,6,4.786842105,0
Countdown Manukau Mall,8.333333333,4,5.186842105,2.25
Countdown Manurewa,7.916666667,3,3.628947368,3.666666667
Countdown Meadowbank,8,4.5,5.578947368,0.916666667
Countdown Meadowlands,8.166666667,3,4.660526316,0.666666667
Countdown Metro Albert Street,4.166666667,0,2.092105263,0
Countdown Metro Halsey Street,3.5,0,2.871052632,0
Countdown Milford,8.333333333,3,6.828947368,3
Countdown Mt Eden,7.583333333,5,7.713157895,1.583333333
Countdown Mt Roskill,8,4.5,3.473684211,2.916666667
Countdown Mt Wellington,8.416666667,3.5,6.681578947,2.916666667
Countdown Newmarket,7.416666667,3.5,8.052631579,0.916666667
Countdown Northcote,7.166666667,4.5,3.102631579,3
Countdown Northwest,7.916666667,2.5,4.621052632,3.583333333
Countdown Onehunga,7.5,3.5,4.642105263,2.916666667
Countdown Pakuranga,7.666666667,3.5,4.260526316,0.916666667
Countdown Papakura,6.75,4.5,5.431578947,3
Countdown Papatoetoe,8.5,2.5,4.828947368,0.916666667
Countdown Ponsonby,8.916666667,3.5,7.607894737,0.916666667
Countdown Pt Chevalier,8,5,5.010526316,1
Countdown Roselands,8.333333333,5,4.576315789,1.583333333
Countdown St Johns,7.166666667,3.5,3.852631579,1.666666667
Countdown St Lukes,6.416666667,3,6.260526316,1.333333333
Countdown Sunnynook,8.666666667,3,3.526315789,2.25
Countdown Sylvia Park,8.083333333,3.5,8.168421053,3
Countdown Takanini,8.083333333,5,7.157894737,1
Countdown Takapuna,7.5,2,5.378947368,1
Countdown Te Atatu,7.333333333,3.5,5.726315789,4.25
Countdown Te Atatu South,7.916666667,3.5,4.305263158,1.666666667
Countdown Three Kings,8.75,4,5.523684211,2.666666667
Countdown Victoria Street West,9.083333333,4.5,7.094736842,2
Countdown Westgate,7.833333333,5.5,5.397368421,0.333333333
FreshChoice Glen Eden,4,0,2.094736842,0
FreshChoice Half Moon Bay,4.416666667,0,2.568421053,0
FreshChoice Mangere Bridge,4.583333333,0,3.305263158,0
FreshChoice Otahuhu,3.916666667,0,1.355263158,0
FreshChoice Ranui,4.666666667,0,2.302631579,0
SuperValue Avondale,4.5,0,2.155263158,0
SuperValue Flatbush,4.5,0,1.923684211,0
SuperValue Palomino,5,0,2.344736842,0
SuperValue Papakura,4.916666667,0,2.092105263,0
SuperValue Titirangi,4.166666667,0,2.765789474,0
