Store,Weekday_variance,Weekend_variance
Countdown Airport,6.786842105,12.57142857
Countdown Auckland City,7.628947368,10.57142857
Countdown Aviemore Drive,10.10526316,13.07142857
Countdown Birkenhead,9.818421053,8.285714286
Countdown Blockhouse Bay,7.102631579,13.42857143
Countdown Botany Downs,6.747368421,10.57142857
Countdown Browns Bay,11.83947368,18.41071429
Countdown Glenfield,7.831578947,9.125
Countdown Greenlane,10.30526316,11.26785714
Countdown Grey Lynn,10.32631579,7.071428571
Countdown Grey Lynn Central,11.67105263,12.69642857
Countdown Hauraki Corner,7.881578947,13.71428571
Countdown Henderson,9.147368421,16.98214286
Countdown Highland Park,10.73684211,10
Countdown Hobsonville,7.684210526,15.71428571
Countdown Howick,10.93421053,14.5
Countdown Kelston,10.06315789,24.83928571
Countdown Lincoln Road,9.168421053,17.14285714
Countdown Lynfield,9.734210526,12.57142857
Countdown Lynmall,5.607894737,9.714285714
Countdown Mairangi Bay,9.734210526,14.55357143
Countdown Mangere East,6.831578947,17.26785714
Countdown Mangere Mall,8.513157895,8.696428571
Countdown Manukau,7.431578947,10.98214286
Countdown Manukau Mall,8.871052632,10.98214286
Countdown Manurewa,8.463157895,11.125
Countdown Meadowbank,8.155263158,11.64285714
Countdown Meadowlands,8.302631579,6.571428571
Countdown Metro Albert Street,3.713157895,3.714285714
Countdown Metro Halsey Street,4.263157895,2.696428571
Countdown Milford,9.526315789,19.69642857
Countdown Mt Eden,8.976315789,21.41071429
Countdown Mt Roskill,6.681578947,13.14285714
Countdown Mt Wellington,11.98947368,11.42857143
Countdown Newmarket,10.74736842,16.55357143
Countdown Northcote,5.673684211,13.41071429
Countdown Northwest,7.839473684,19.07142857
Countdown Onehunga,7.147368421,18.69642857
Countdown Pakuranga,6.555263158,3.553571429
Countdown Papakura,7.502631579,13.98214286
Countdown Papatoetoe,9.778947368,17.71428571
Countdown Ponsonby,12.89210526,12.26785714
Countdown Pt Chevalier,8.618421053,9.696428571
Countdown Roselands,8.681578947,11.125
Countdown St Johns,6.157894737,14.85714286
Countdown St Lukes,8.789473684,10.69642857
Countdown Sunnynook,7.568421053,12.98214286
Countdown Sylvia Park,11.62105263,13.92857143
Countdown Takanini,10.90526316,15.92857143
Countdown Takapuna,9.252631579,14.78571429
Countdown Te Atatu,8.621052632,11.83928571
Countdown Te Atatu South,7.839473684,8.410714286
Countdown Three Kings,9.839473684,14.57142857
Countdown Victoria Street West,12.64210526,15.07142857
Countdown Westgate,8.871052632,12.28571429
FreshChoice Glen Eden,3.607894737,4.410714286
FreshChoice Half Moon Bay,3.734210526,9.696428571
FreshChoice Mangere Bridge,4.905263158,4.571428571
FreshChoice Otahuhu,2.407894737,5.357142857
FreshChoice Ranui,3.460526316,7.928571429
SuperValue Avondale,3.944736842,5.357142857
SuperValue Flatbush,3.905263158,2.696428571
SuperValue Palomino,4.197368421,8
SuperValue Papakura,4.010526316,4.982142857
SuperValue Titirangi,4.028947368,6.5
