Store,Weekday_mean,Weekday_variance
Countdown Airport,6.507347763,3.884210526
Countdown Auckland City,7.570946106,4.260526316
Countdown Aviemore Drive,6.833898305,6.221052632
Countdown Birkenhead,7.114533205,6.631578947
Countdown Blockhouse Bay,6.508264463,3.957894737
Countdown Botany Downs,7.754713814,3.221052632
Countdown Browns Bay,7.048861426,9.186842105
Countdown Glenfield,6.299141026,4.786842105
Countdown Greenlane,7.295955296,7.502631579
Countdown Grey Lynn,7.471868527,7.515789474
Countdown Grey Lynn Central,7.254711103,7.694736842
Countdown Hauraki Corner,6.506713276,5.694736842
Countdown Henderson,7.182370545,5.778947368
Countdown Highland Park,6.856210039,6.45
Countdown Hobsonville,8.044342552,3.936842105
Countdown Howick,8.338935279,6.05
Countdown Kelston,7.298068248,8.239473684
Countdown Lincoln Road,7.686335404,5.936842105
Countdown Lynfield,7.561684193,4.871052632
Countdown Lynmall,6.608102793,2.260526316
Countdown Mairangi Bay,8.164467484,4.642105263
Countdown Mangere East,7.54491018,3.418421053
Countdown Mangere Mall,6.284409829,5.923684211
Countdown Manukau,6.778666275,4.786842105
Countdown Manukau Mall,7.685056834,5.186842105
Countdown Manurewa,7.621142347,3.628947368
Countdown Meadowbank,7.251514002,5.578947368
Countdown Meadowlands,7.571908547,4.660526316
Countdown Metro Albert Street,3.743315508,2.092105263
Countdown Metro Halsey Street,3.340402969,2.871052632
Countdown Milford,7.384320307,6.828947368
Countdown Mt Eden,6.604614763,7.713157895
Countdown Mt Roskill,7.565089242,3.473684211
Countdown Mt Wellington,7.643490434,6.681578947
Countdown Newmarket,6.433942995,8.052631579
Countdown Northcote,7.08652359,3.102631579
Countdown Northwest,7.312537097,4.621052632
Countdown Onehunga,7.093414537,4.642105263
Countdown Pakuranga,6.932513036,4.260526316
Countdown Papakura,6.577971026,5.431578947
Countdown Papatoetoe,8.235256478,4.828947368
Countdown Ponsonby,7.549090772,7.607894737
Countdown Pt Chevalier,7.659362825,5.010526316
Countdown Roselands,7.992352749,4.576315789
Countdown St Johns,6.644693474,3.852631579
Countdown St Lukes,6.385529252,6.260526316
Countdown Sunnynook,8.066463938,3.526315789
Countdown Sylvia Park,7.170109026,8.168421053
Countdown Takanini,7.058823529,7.157894737
Countdown Takapuna,7.05897563,5.378947368
Countdown Te Atatu,6.885160393,5.726315789
Countdown Te Atatu South,7.324420018,4.305263158
Countdown Three Kings,8.513342555,5.523684211
Countdown Victoria Street West,8.616950304,7.094736842
Countdown Westgate,7.580334379,5.397368421
FreshChoice Glen Eden,3.641881639,2.094736842
FreshChoice Half Moon Bay,4.09556314,2.568421053
FreshChoice Mangere Bridge,3.838245374,3.305263158
FreshChoice Otahuhu,3.342618384,1.355263158
FreshChoice Ranui,4.260715191,2.302631579
SuperValue Avondale,3.927986907,2.155263158
SuperValue Flatbush,4.27480916,1.923684211
SuperValue Palomino,4.244567964,2.344736842
SuperValue Papakura,4.246713852,2.092105263
SuperValue Titirangi,3.753351206,2.765789474
