Store,Weekend_mean,Weekend_variance
Countdown Airport,5,12.57142857
Countdown Auckland City,2.5,10.57142857
Countdown Aviemore Drive,4,13.07142857
Countdown Birkenhead,3,8.285714286
Countdown Blockhouse Bay,2,13.42857143
Countdown Botany Downs,2.5,10.57142857
Countdown Browns Bay,3,18.41071429
Countdown Glenfield,4,9.125
Countdown Greenlane,2.5,11.26785714
Countdown Grey Lynn,2,7.071428571
Countdown Grey Lynn Central,6,12.69642857
Countdown Hauraki Corner,3,13.71428571
Countdown Henderson,4,16.98214286
Countdown Highland Park,2.5,10
Countdown Hobsonville,6,15.71428571
Countdown Howick,3.5,14.5
Countdown Kelston,4.5,24.83928571
Countdown Lincoln Road,4,17.14285714
Countdown Lynfield,3,12.57142857
Countdown Lynmall,4.5,9.714285714
Countdown Mairangi Bay,3,14.55357143
Countdown Mangere East,3.5,17.26785714
Countdown Mangere Mall,2.5,8.696428571
Countdown Manukau,5.5,10.98214286
Countdown Manukau Mall,2.5,10.98214286
Countdown Manurewa,3,11.125
Countdown Meadowbank,3.5,11.64285714
Countdown Meadowlands,2.5,6.571428571
Countdown Metro Albert Street,0,3.714285714
Countdown Metro Halsey Street,0,2.696428571
Countdown Milford,2.5,19.69642857
Countdown Mt Eden,4,21.41071429
Countdown Mt Roskill,3,13.14285714
Countdown Mt Wellington,3.5,11.42857143
Countdown Newmarket,3,16.55357143
Countdown Northcote,3,13.41071429
Countdown Northwest,2,19.07142857
Countdown Onehunga,2.5,18.69642857
Countdown Pakuranga,2.5,3.553571429
Countdown Papakura,3,13.98214286
Countdown Papatoetoe,2.5,17.71428571
Countdown Ponsonby,3.5,12.26785714
Countdown Pt Chevalier,4,9.696428571
Countdown Roselands,4,11.125
Countdown St Johns,2.5,14.85714286
Countdown St Lukes,2,10.69642857
Countdown Sunnynook,2,12.98214286
Countdown Sylvia Park,2,13.92857143
Countdown Takanini,5,15.92857143
Countdown Takapuna,2,14.78571429
Countdown Te Atatu,2,11.83928571
Countdown Te Atatu South,3,8.410714286
Countdown Three Kings,3,14.57142857
Countdown Victoria Street West,3.5,15.07142857
Countdown Westgate,5,12.28571429
FreshChoice Glen Eden,0,4.410714286
FreshChoice Half Moon Bay,0,9.696428571
FreshChoice Mangere Bridge,0,4.571428571
FreshChoice Otahuhu,0,5.357142857
FreshChoice Ranui,0,7.928571429
SuperValue Avondale,0,5.357142857
SuperValue Flatbush,0,2.696428571
SuperValue Palomino,0,8
SuperValue Papakura,0,4.982142857
SuperValue Titirangi,0,6.5
