Store,Weekdays,Weekends,Latitude,Longitude
Countdown Greenlane,8.5,1,-36.88916156,174.7935037
Countdown St Lukes,6,1,-36.88336862,174.7347459
Countdown Mt Eden,8,1.5,-36.87718131,174.7523352
Countdown Newmarket,6.5,1,-36.8705446,174.7754093
Countdown Pt Chevalier,8,1.5,-36.86957431,174.7105595
Countdown Grey Lynn Central,8.5,2,-36.86311836,174.7385667
Countdown Ponsonby,9,1,-36.8584399,174.7491386
Countdown Grey Lynn,9,1,-36.85144346,174.7318719
Countdown Victoria Street West,9,1,-36.84853355,174.7648512
Countdown Auckland City,8,1,-36.84496186,174.7731192
