Store,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
FreshChoice Otahuhu,4,2,4,2.5,5,0,0
Countdown Botany Downs,7.5,7.5,8,8.5,9,4,0
Countdown Meadowlands,8,9.5,5,7,9,3,0
Countdown Pakuranga,8,8,8,6.5,10,4,0
Countdown Mt Wellington,9,8,7,5.5,8,6,0
Countdown Highland Park,10,5.5,7,7.5,7,4,0
Countdown Aviemore Drive,8.5,9,6,4,7,4,0
Countdown Howick,7.5,9.5,8,8,9,4,0
FreshChoice Half Moon Bay,3.5,4,4,3,4,0,0
Countdown St Johns,9.5,6,5,7.5,6,5,0
Countdown Meadowbank,9,6,8,7.5,9,4,0
Countdown Sylvia Park,8.5,7.5,5,9,7,2,0
