Store,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
SuperValue Papakura,5,5,4,3.5,5,0,0
Countdown Papakura,7.5,7,6,6.5,5,3,0
Countdown Roselands,8,9.5,7,8.5,7,6,0
Countdown Takanini,7,9.5,8,4.5,8,5,0
Countdown Manurewa,8,7,7,8,11,4,0
Countdown Airport,6,7.5,5,7,7,5,0
Countdown Manukau Mall,8,10.5,8,5.5,8,5,0
Countdown Manukau,7.5,8.5,8,7,5,6,0
SuperValue Flatbush,5,5.5,4,3,5,0,0
Countdown Papatoetoe,9,10.5,8,7.5,7,3,0
Countdown Mangere Mall,8,5,9,7,7,3,0
Countdown Mangere East,7.5,7,7,8,8,4,0
