Type,Location,Store,Lat,Long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Distribution Centre,Auckland,Distribution Centre Auckland,-36.949042,174.808012,10000,10000,10000,10000,10000,10000,10000
Countdown,Greenlane,Countdown Greenlane,-36.88916156,174.7935037,8,11,9,6,9.5,4,0
Countdown,St Lukes,Countdown St Lukes,-36.88336862,174.7347459,6,6.5,6,5.5,7,3,0
Countdown,Mt Eden,Countdown Mt Eden,-36.87718131,174.7523352,7,6,10,6.5,9.5,5,0
Countdown,Newmarket,Countdown Newmarket,-36.8705446,174.7754093,5.5,6,9.5,8.5,8.5,3.5,0
Countdown,Pt Chevalier,Countdown Pt Chevalier,-36.86957431,174.7105595,7.5,7,8.5,9,8,5,0
Countdown,Grey Lynn Central,Countdown Grey Lynn Central,-36.86311836,174.7385667,7,9,8.5,9.5,8,6,0
Countdown,Ponsonby,Countdown Ponsonby,-36.8584399,174.7491386,9.5,7,8,8.5,10.5,3.5,0
Countdown,Grey Lynn,Countdown Grey Lynn,-36.85144346,174.7318719,9.5,8,10.5,5.5,9.5,2.5,0
Countdown,Victoria Street West,Countdown Victoria Street West,-36.84853355,174.7648512,11,8.5,8.5,8,10.5,4.5,0
Countdown,Auckland City,Countdown Auckland City,-36.84496186,174.7731192,7,8,8,9.5,7,3.5,0
Countdown Metro,Halsey Street,Countdown Metro Halsey Street,-36.84358106,174.7578066,3.5,3.5,3,4,3.5,0,0
Countdown Metro,Albert Street,Countdown Metro Albert Street,-36.84350157,174.7658662,4.5,5,4.5,4.5,3,0,0
