Type,Location,Store,Lat,Long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
FreshChoice,Otahuhu,FreshChoice Otahuhu,-36.94480584,174.8431184,4,2,4.5,4,4,0,0
Countdown,Botany Downs,Countdown Botany Downs,-36.92972626,174.9110718,8.5,7.5,8,9,7,3.5,0
Countdown,Meadowlands,Countdown Meadowlands,-36.9132518,174.929465,8.5,9.5,7,7,7.5,3,0
Countdown,Pakuranga,Countdown Pakuranga,-36.91284146,174.8714299,9,8,8,6.5,7.5,3.5,0
Countdown,Mt Wellington,Countdown Mt Wellington,-36.9093147,174.837989,10.5,8,7.5,7,8.5,3.5,0
Countdown,Highland Park,Countdown Highland Park,-36.89933061,174.9084309,7.5,7,7,7.5,7.5,2.5,0
Countdown,Aviemore Drive,Countdown Aviemore Drive,-36.89887827,174.9065699,7.5,9,7,5.5,9.5,4,0
Countdown,Howick,Countdown Howick,-36.89585201,174.9335377,9,9,8.5,8,9.5,4,0
FreshChoice,Half Moon Bay,FreshChoice Half Moon Bay,-36.88106607,174.9002827,3.5,5,4.5,5,4,0,0
Countdown,St Johns,Countdown St Johns,-36.87888192,174.8548393,9.5,7,6,9,7,3.5,0
Countdown,Meadowbank,Countdown Meadowbank,-36.87610706,174.8289359,11,5.5,8,7.5,9,4.5,0
