Type,Location,Store,Lat,Long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Distribution Centre,Auckland,Distribution Centre Auckland,-36.94904179,174.8080123,10000,10000,10000,10000,10000,10000,10000
Countdown,Birkenhead,Countdown Birkenhead,-36.81111802,174.7248776,8,5.5,9,10,9,4.5,0
Countdown,Northcote,Countdown Northcote,-36.80035237,174.7455338,7,6,6,7,9.5,4.5,0
Countdown,Hauraki Corner,Countdown Hauraki Corner,-36.79667981,174.7781249,8,7,8.5,6,7.5,4.5,0
Countdown,Takapuna,Countdown Takapuna,-36.79125414,174.7662056,8,6.5,7,7.5,9,2,0
Countdown,Glenfield,Countdown Glenfield,-36.78148813,174.7234262,8.5,7,9,6,5.5,4.5,0
Countdown,Milford,Countdown Milford,-36.77197217,174.7666177,8,7,10.5,6,8,3,0
Countdown,Sunnynook,Countdown Sunnynook,-36.75907026,174.7406941,8.5,9.5,8.5,7,9.5,3,0
Countdown,Mairangi Bay,Countdown Mairangi Bay,-36.73941255,174.7540551,8,7,8.5,10.5,9.5,3.5,0
Countdown,Browns Bay,Countdown Browns Bay,-36.71714479,174.7472772,9.5,5,6.5,7.5,10.5,4.5,0
