Type,Location,Store,Lat,Long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Distribution Centre,Auckland,Distribution Centre Auckland,-36.94904179,174.8080123,10000,10000,10000,10000,10000,10000,10000
SuperValue,Papakura,SuperValue Papakura,-37.06606311,174.9556975,5,5,5,4,5.5,0,0
Countdown,Papakura,Countdown Papakura,-37.06390487,174.9447236,7.5,7,6.5,7,6,4.5,0
Countdown,Roselands,Countdown Roselands,-37.0589478,174.9414297,7.5,9.5,9,8.5,8,5,0
Countdown,Takanini,Countdown Takanini,-37.04764284,174.9279243,7,9.5,9,7.5,9,5,0
Countdown,Manurewa,Countdown Manurewa,-37.01734442,174.8651097,8,8,7,8,9.5,3,0
Countdown,Airport,Countdown Airport,-36.99736985,174.7888823,6.5,7,6.5,8.5,7,5,0
Countdown,Manukau Mall,Countdown Manukau Mall,-36.99174967,174.8831931,8,10.5,9,6,8.5,4,0
Countdown,Manukau,Countdown Manukau,-36.98676855,174.8848148,6,9,8.5,6.5,8,6,0
SuperValue,Flatbush,SuperValue Flatbush,-36.97676671,174.8972267,5.5,5.5,4,3.5,4,0,0
Countdown,Papatoetoe,Countdown Papatoetoe,-36.97039494,174.862111,8,11,8,11,7,2.5,0
Countdown,Mangere Mall,Countdown Mangere Mall,-36.96987802,174.8011202,8,5.5,9,7,6.5,3.5,0
Countdown,Mangere East,Countdown Mangere East,-36.9657908,174.825346,9,6,7,9.5,8,3.5,0
