Type,Location,Store,Lat,Long,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Countdown,Sylvia Park,Countdown Sylvia Park,-36.91713855,174.8418202,8.5,6.5,6.5,9,9.5,3.5,0
SuperValue,Palomino,SuperValue Palomino,-36.88287566,174.6161793,5.5,4.5,4,5.5,4.5,0,0
Countdown,Henderson,Countdown Henderson,-36.88089456,174.6332277,9.5,7,7,7,9,4,0
Countdown,Te Atatu South,Countdown Te Atatu South,-36.86472278,174.6476292,8.5,8.5,8,7.5,8,3.5,0
FreshChoice,Ranui,FreshChoice Ranui,-36.86353948,174.6015834,3.5,4.5,5.5,6,4.5,0,0
Countdown,Lincoln Road,Countdown Lincoln Road,-36.8568778,174.6325126,7.5,9,8,7,11,4,0
Countdown,Te Atatu,Countdown Te Atatu,-36.84209292,174.6542381,8.5,8.5,6,7,8,3.5,0
Countdown,Westgate,Countdown Westgate,-36.82092949,174.6146464,6.5,9,9.5,8,7,5.5,0
Countdown,Northwest,Countdown Northwest,-36.81879206,174.6129291,7,8.5,8,8.5,8.5,2.5,0
Countdown,Hobsonville,Countdown Hobsonville,-36.79748845,174.6487257,9,10,8,9.5,7.5,6,0
