Store,Weekday_variance,Weekend_variance
Countdown Airport,3.884210526,7.125
Countdown Auckland City,4.260526316,4.214285714
Countdown Aviemore Drive,6.221052632,5.714285714
Countdown Birkenhead,6.631578947,6.410714286
Countdown Blockhouse Bay,3.957894737,1.553571429
Countdown Botany Downs,3.221052632,4.214285714
Countdown Browns Bay,9.186842105,6.410714286
Countdown Glenfield,4.786842105,7.071428571
Countdown Greenlane,7.502631579,3.928571429
Countdown Grey Lynn,7.515789474,3.428571429
Countdown Grey Lynn Central,7.694736842,9.071428571
Countdown Hauraki Corner,5.694736842,6.410714286
Countdown Henderson,5.778947368,6.125
Countdown Highland Park,6.45,2.553571429
Countdown Hobsonville,3.936842105,10.28571429
Countdown Howick,6.05,4.857142857
Countdown Kelston,8.239473684,5.428571429
Countdown Lincoln Road,5.936842105,6.214285714
Countdown Lynfield,4.871052632,5.071428571
Countdown Lynmall,2.260526316,5.428571429
Countdown Mairangi Bay,4.642105263,4.214285714
Countdown Mangere East,3.418421053,3.642857143
Countdown Mangere Mall,5.923684211,5.267857143
Countdown Manukau,4.786842105,10.28571429
Countdown Manukau Mall,5.186842105,4.982142857
Countdown Manurewa,3.628947368,5.071428571
Countdown Meadowbank,5.578947368,5.553571429
Countdown Meadowlands,4.660526316,2.857142857
Countdown Metro Albert Street,2.092105263,0
Countdown Metro Halsey Street,2.871052632,0
Countdown Milford,6.828947368,4.785714286
Countdown Mt Eden,7.713157895,7.125
Countdown Mt Roskill,3.473684211,6.410714286
Countdown Mt Wellington,6.681578947,5.267857143
Countdown Newmarket,8.052631579,3.410714286
Countdown Northcote,3.102631579,7.071428571
Countdown Northwest,4.621052632,4.553571429
Countdown Onehunga,4.642105263,5.267857143
Countdown Pakuranga,4.260526316,3.410714286
Countdown Papakura,5.431578947,7.071428571
Countdown Papatoetoe,4.828947368,2.553571429
Countdown Ponsonby,7.607894737,3.410714286
Countdown Pt Chevalier,5.010526316,6.214285714
Countdown Roselands,4.576315789,7.125
Countdown St Johns,3.852631579,4.214285714
Countdown St Lukes,6.260526316,3.142857143
Countdown Sunnynook,3.526315789,3.982142857
Countdown Sylvia Park,8.168421053,4.785714286
Countdown Takanini,7.157894737,6.214285714
Countdown Takapuna,5.378947368,2.214285714
Countdown Te Atatu,5.726315789,5.839285714
Countdown Te Atatu South,4.305263158,4.214285714
Countdown Three Kings,5.523684211,5.714285714
Countdown Victoria Street West,7.094736842,5.428571429
Countdown Westgate,5.397368421,8.785714286
FreshChoice Glen Eden,2.094736842,0
FreshChoice Half Moon Bay,2.568421053,0
FreshChoice Mangere Bridge,3.305263158,0
FreshChoice Otahuhu,1.355263158,0
FreshChoice Ranui,2.302631579,0
SuperValue Avondale,2.155263158,0
SuperValue Flatbush,1.923684211,0
SuperValue Palomino,2.344736842,0
SuperValue Papakura,2.092105263,0
SuperValue Titirangi,2.765789474,0
