Store,Weekday_mean,Weekday_variance
Countdown Airport,7,3.884210526
Countdown Auckland City,8,4.260526316
Countdown Aviemore Drive,8,6.221052632
Countdown Birkenhead,8.5,6.631578947
Countdown Blockhouse Bay,7.5,3.957894737
Countdown Botany Downs,8,3.221052632
Countdown Browns Bay,7.5,9.186842105
Countdown Glenfield,7,4.786842105
Countdown Greenlane,8.5,7.502631579
Countdown Grey Lynn,9,7.515789474
Countdown Grey Lynn Central,8.5,7.694736842
Countdown Hauraki Corner,7,5.694736842
Countdown Henderson,8,5.778947368
Countdown Highland Park,7,6.45
Countdown Hobsonville,8.5,3.936842105
Countdown Howick,9,6.05
Countdown Kelston,7,8.239473684
Countdown Lincoln Road,9,5.936842105
Countdown Lynfield,8,4.871052632
Countdown Lynmall,7,2.260526316
Countdown Mairangi Bay,9,4.642105263
Countdown Mangere East,8,3.418421053
Countdown Mangere Mall,7,5.923684211
Countdown Manukau,8,4.786842105
Countdown Manukau Mall,8,5.186842105
Countdown Manurewa,8,3.628947368
Countdown Meadowbank,8,5.578947368
Countdown Meadowlands,8,4.660526316
Countdown Metro Albert Street,4.5,2.092105263
Countdown Metro Halsey Street,3.5,2.871052632
Countdown Milford,9,6.828947368
Countdown Mt Eden,8,7.713157895
Countdown Mt Roskill,8,3.473684211
Countdown Mt Wellington,8,6.681578947
Countdown Newmarket,6.5,8.052631579
Countdown Northcote,7,3.102631579
Countdown Northwest,8,4.621052632
Countdown Onehunga,7,4.642105263
Countdown Pakuranga,8,4.260526316
Countdown Papakura,7,5.431578947
Countdown Papatoetoe,8,4.828947368
Countdown Ponsonby,9,7.607894737
Countdown Pt Chevalier,8,5.010526316
Countdown Roselands,8,4.576315789
Countdown St Johns,7,3.852631579
Countdown St Lukes,6,6.260526316
Countdown Sunnynook,9,3.526315789
Countdown Sylvia Park,8,8.168421053
Countdown Takanini,8,7.157894737
Countdown Takapuna,8,5.378947368
Countdown Te Atatu,8,5.726315789
Countdown Te Atatu South,8,4.305263158
Countdown Three Kings,8.5,5.523684211
Countdown Victoria Street West,9,7.094736842
Countdown Westgate,8,5.397368421
FreshChoice Glen Eden,4,2.094736842
FreshChoice Half Moon Bay,4,2.568421053
FreshChoice Mangere Bridge,5,3.305263158
FreshChoice Otahuhu,4,1.355263158
FreshChoice Ranui,5,2.302631579
SuperValue Avondale,5,2.155263158
SuperValue Flatbush,4.5,1.923684211
SuperValue Palomino,5,2.344736842
SuperValue Papakura,5,2.092105263
SuperValue Titirangi,4,2.765789474
