Store,Weekend_mean,Weekend_variance
Countdown Airport,1.5,7.125
Countdown Auckland City,1,4.214285714
Countdown Aviemore Drive,1,5.714285714
Countdown Birkenhead,1,6.410714286
Countdown Blockhouse Bay,1,1.553571429
Countdown Botany Downs,1,4.214285714
Countdown Browns Bay,1,6.410714286
Countdown Glenfield,1.5,7.071428571
Countdown Greenlane,1,3.928571429
Countdown Grey Lynn,1,3.428571429
Countdown Grey Lynn Central,2,9.071428571
Countdown Hauraki Corner,1,6.410714286
Countdown Henderson,1.5,6.125
Countdown Highland Park,1,2.553571429
Countdown Hobsonville,3,10.28571429
Countdown Howick,1.5,4.857142857
Countdown Kelston,1,5.428571429
Countdown Lincoln Road,2,6.214285714
Countdown Lynfield,1,5.071428571
Countdown Lynmall,1,5.428571429
Countdown Mairangi Bay,1,4.214285714
Countdown Mangere East,1.5,3.642857143
Countdown Mangere Mall,1,5.267857143
Countdown Manukau,3,10.28571429
Countdown Manukau Mall,1,4.982142857
Countdown Manurewa,1,5.071428571
Countdown Meadowbank,1.5,5.553571429
Countdown Meadowlands,1,2.857142857
Countdown Metro Albert Street,0,0
Countdown Metro Halsey Street,0,0
Countdown Milford,1,4.785714286
Countdown Mt Eden,1.5,7.125
Countdown Mt Roskill,1,6.410714286
Countdown Mt Wellington,1,5.267857143
Countdown Newmarket,1,3.410714286
Countdown Northcote,1.5,7.071428571
Countdown Northwest,1,4.553571429
Countdown Onehunga,1,5.267857143
Countdown Pakuranga,1,3.410714286
Countdown Papakura,1.5,7.071428571
Countdown Papatoetoe,1,2.553571429
Countdown Ponsonby,1,3.410714286
Countdown Pt Chevalier,1.5,6.214285714
Countdown Roselands,1.5,7.125
Countdown St Johns,1,4.214285714
Countdown St Lukes,1,3.142857143
Countdown Sunnynook,1,3.982142857
Countdown Sylvia Park,1,4.785714286
Countdown Takanini,1.5,6.214285714
Countdown Takapuna,1,2.214285714
Countdown Te Atatu,1,5.839285714
Countdown Te Atatu South,1,4.214285714
Countdown Three Kings,1,5.714285714
Countdown Victoria Street West,1,5.428571429
Countdown Westgate,2.5,8.785714286
FreshChoice Glen Eden,0,0
FreshChoice Half Moon Bay,0,0
FreshChoice Mangere Bridge,0,0
FreshChoice Otahuhu,0,0
FreshChoice Ranui,0,0
SuperValue Avondale,0,0
SuperValue Flatbush,0,0
SuperValue Palomino,0,0
SuperValue Papakura,0,0
SuperValue Titirangi,0,0
